220Ω:2
6.8KΩ:2
D2:1
G***:1
J1:1
J10:1
J11:1
J12:1
J13:1
J14:1
J15:1
J16:1
J17:1
J9:1
LED:1
NPN:2
SW1:1
SW2:1
